	iTRAQ8.113	iTRAQ8.114	iTRAQ8.115	iTRAQ8.116	iTRAQ8.117	iTRAQ8.118	iTRAQ8.119	iTRAQ8.121
Q14697	-4.43524768052369	-3.19615540390153	-2.21916507710795	-4.60576412420626	-3.07709469781417	-3.28341986202087	-2.31731218605573	-2.58216277089785
Q14929	-3.34171018130241	-3.34453948410802	-1.56738343005003	-3.91810096558728	-2.54975788677572	-4.21358443966321	-3.70643596394499	-3.35020244051004
Q15149	-3.13940395605399	-3.21524247790542	-2.79899045958705	-2.23481750357929	-3.17249392625595	-3.01179216937543	-3.29060011247703	-3.54605997982976
Q15459	-3.67268569894462	-3.18237193938216	-3.11027131310862	-3.1551616376757	-2.81417530874899	-2.94854435713166	-3.05610316585321	-2.3852166181497
Q15637	-2.68314462662131	-2.9338851137008	-2.97565883138044	-3.22113565427941	-2.96963737042782	-3.65949291584746	-3.35407239580414	-2.51885948812837
Q15746	-2.64251087268508	-3.47925845436751	-4.40549728032535	-5.17574997907083	-3.40124503361746	-1.86142272160159	-1.9461849350174	-4.44304645774521
Q16531	-4.56094565918396	-2.82290605764762	-2.57552777710521	-3.61804685023649	-3.04603613564579	-3.39936101324572	-2.94582461662199	-2.17480078576091
Q3MIR4, Q9NV96	-2.78104513950117	-2.60456747012039	-2.76944161765531	-3.39509590720284	-2.65000371199343	-3.00785563071015	-3.706217655133	-3.50431906224613
Q3YEC7	-3.37708233049811	-3.31966026910792	-2.5035062735044	-3.39645327466358	-3.16509525457657	-3.10774499983178	-3.67726247877863	-2.14163224003079
Q49MG5	-3.81753615989383	-3.6769882750773	-2.42843861532668	-3.68476062953681	-3.78042349308034	-3.00600109388145	-2.65685921376959	-2.11066660265318
Q6P1L8	-3.47460048192124	-2.95988789611634	-2.43667700594897	-4.28646589818507	-3.15350457560004	-4.57324504393115	-2.78867518063214	-2.02059579703735
Q6WKZ4	-3.76408912294845	-3.46522564539932	-2.54044599824653	-3.15925497521517	-4.22357392041178	-3.30290594478526	-3.67022378608043	-1.65008820542307
Q70J99	-4.48527262318703	-1.48005318827553	-1.5654979902357	-5.34394089111063	-4.5764523885218	-4.6855791343914	-4.95163811957535	-3.04327699835744
Q7L576, Q96F07	-4.27413203920105	-3.08353591861175	-2.55247360102209	-3.36673026279692	-3.18587521566263	-2.83401131296613	-2.87745598591295	-2.50037813800951
Q7L5N7	-3.84775850129149	-2.13697294385393	-2.64751705224809	-3.72261960562339	-3.58463020533469	-2.90532791131874	-3.22262878173364	-2.79698121799481
Q7LBR1	-3.66261146524749	-3.08814769982289	-2.9577678914025	-3.37642508622306	-2.80478939329269	-3.72423909804954	-2.54920256723329	-2.40498946838969
Q7Z406	-2.85243095659795	-2.8859370243939	-3.29943719177837	-2.57628809347326	-3.82296067693056	-3.05942294877656	-4.20076462867724	-2.23777041552308
Q7Z6Z7	-4.05887090051445	-2.81070013351587	-2.72808366874092	-3.51871986929941	-3.53865789102324	-2.31623075250909	-3.15855902117008	-2.63967038320005
Q86VS8	-1.95145655808745	-3.66786574026705	-3.31180743590865	-2.74107533485568	-3.11850503633798	-3.31859373390666	-3.74165881611943	-3.0308255857787
Q8IUX7, Q8N436	-4.22008663464793	-3.71828786576221	-3.87075491726407	-4.37492196047952	-3.24327492184469	-2.5831688436182	-1.22703222608946	-4.20719304514245
Q8N1F7	-4.34029605591218	-2.84456730137792	-2.37493492312882	-4.43488697114905	-3.38626066570131	-2.7918914375724	-3.07213716084456	-2.22799794228013
Q8N4T8	-2.63499631932743	-1.90395302228947	-3.01094249585486	-3.89748952671259	-3.65530185115224	-3.53094924228539	-3.46511791672806	-3.00909478234245
Q8N766	-3.95644991028528	-3.10578248030685	-2.50298884830436	-3.54821823241033	-3.04101796076408	-2.70858099455939	-2.83322110792275	-2.80861023485673
Q8TBC4	-3.3910845308148	-2.87134297391934	-2.44372291186953	-2.82130995686706	-3.4240451919607	-3.10383322816777	-3.33625082140323	-2.897198452513
Q8TE68	-3.00409452514726	-3.50218478449966	-3.32526331538274	-3.19458313013586	-2.79889319677593	-2.19510131881305	-3.01596472401916	-3.43592210685619
Q8TE77	-3.07137698596794	-2.85569251987267	-2.75129186317122	-3.23273225868592	-3.00296295838531	-3.5070019265021	-5.21241422443975	-2.00976980908744
Q8TEX9	-3.24948478999488	-3.68213435292554	-1.87113573323582	-2.64500554265652	-3.37744378852859	-4.73708970377956	-3.42090188551246	-2.67463339473752
Q8WUY1	-3.14455611394098	-2.2553341521101	-2.47221822390452	-3.76982319911041	-4.06807279358422	-3.7976164465016	-2.96977838168178	-2.60150459736386
Q8WZA9	-2.36213253609384	-3.9520136959793	-2.6262999725673	-3.34460723265256	-3.75702015457711	-3.02608074433124	-2.94415039217082	-2.70064359555673
